答案ID,提交时间,答题耗时,若您已确认上述内容并无异议，请选择下方“开始作答”并点击【下一页】进行本次问卷作答。[A:开始作答B:放弃参与（结束作答）],请问您计划参与测试的设备平台是？[A:PC端B:安卓端],请问您计划本次参与测试会使用安卓手机设备品牌是？[A:华为B:vivoC:OPPOD:小米E:荣耀F:一加G:红米H:iQOOI:三星J:魅族K: 其他，请填写：],请问您将用于本次测试的手机处理器属于以下哪一个选项?[A:骁龙865/天玑9000/麒麟9000及以下（如：小米10/华为Mate 40 Pro等）B: 骁龙870/888/Gen1/Gen2或天玑9200（如：小米13/红米K60 Pro等）C:骁龙8Gen3/天玑9300（如红米K80/iQOO Neo10/一加ACE5等）D:骁龙8Elite/天玑9400及以上(如：小米15/红米K80 Pro/一加Ace5Pro等)E:不清楚具体配置，请填写手机品牌和型号： ],请问您的手机运行内存(RAM)为？[A:4GB及以下B:6GBC:8GBD:12GBE:16GB及以上F:不清楚],请问您能够参与本次测试的PC设备的系统版本是？[A:Windows 10 - 32 位B:Windows 10 - 64 位C:Windows 11D:其他 Windows 系统E:其他操作系统],请选择您在测试中将会使用的PC设备的处理器（CPU）型号,请选择您在测试中将会使用的PC设备的显卡型号,您近半年内主要使用哪些设备玩游戏?[A:手机/平板电脑B:笔记本电脑/台式电脑C:家用主机（如Switch、PS、Xbox等）D:以上都没有],以下手机游戏类型中，您曾深入体验过的有哪些? [A:MOBA类（如王者荣耀、英雄联盟手游等）B:模拟经营类（如桃园深处有人家、心动小镇、我的花园世界等）C:卡牌RPG类（如崩坏：星穹铁道、重返未来：1999、明日方舟、阴阳师等）D:动作类（如绝区零、崩坏3、战双帕弥什等）E:战棋类（如梦幻模拟战、天地劫：幽城再临等）F:自走棋类（如金铲铲之战、多多自走棋等）G:休闲放置类（如剑与远征、杖剑传说等）H:SLG类（如三国志战略版、三国谋定天下、三国：冰河时代等）I:开放世界类（如原神、鸣潮、异环等）J:沙盒类（如我的世界、迷你世界等）K:休闲益智类（如开心消消乐、梦幻家园等）L:射击类（如三角洲行动、逆战：未来等）M:即时制MMORPG（如逆水寒手游、天涯明月刀手游等）N:回合制MMORPG（如梦幻西游、问道等）O:横版动作类（如火影忍者手游、DNF手游、归龙潮等）P:Roguelike类（如重生细胞、土豆兄弟等）Q:其他，请补充 _________________R: 以上都没有],以下手机游戏产品中，您曾深入体验过的有哪些? [A:重生细胞B:忍者必须死系列C:苍翼：混沌效应D:影之刃3E:时空猎人系列F:心渊梦境G:霓虹深渊H:艾希I:火影忍者手游J:归龙潮K:地下城与勇士：起源L:造梦西游系列M:以上都没有],以下PC/主机游戏类型中，您最近三个月玩的最多的是？[A:MOBA(如英雄联盟、DOTA2等)B:集换式卡牌类(如炉石传说、万智牌、游戏王:大师决斗等)C:模拟经营类(如沙石镇时光、星露谷物语、露玛岛、双点博物馆等)D:战争策略类(如帝国时代、魔兽争霸、文明系列等)E:MMORPG类(如逆水寒、最终幻想14、魔兽世界等)F:合作/派对类(如双人成行、糖豆人、猛兽派对等)G:沙盒建造/生存类(如幻兽帕鲁、我的世界、七日世界、RUST、饥荒等)H:射击类(如CSGO、无畏契约、守望先锋、Apex、PUBG、三角洲行动等)I:动作RPG(如只狼、黑暗之魂系列、艾尔登法环、怪物猎人系列等）J:开放世界类(如塞尔达传说系列、刺客信条系列、GTA5、巫师3等)K:平台动作/银河恶魔城类（如奥日、艾希、暗影火炬城等）L:JRPG类（如碧蓝幻想relink、最终幻想系列等）M:视觉小说/文字冒险类(如命运石之门、隐形守护者、底特律:变人等）N:其他，请补充 _________________O:以上都没有],请问您主要是被《绿梦：时空之声》的哪些方面吸引，进而参与本次蚀梦测试的?[A:动作战斗玩法B:美术风格C:有感兴趣的喜欢的角色D:游戏热度高E:喜欢尝试新游戏F:剧情世界观G:游戏类型（动作类）H:游戏类型（射击类）I:朋友、UP主推荐J:其他原因，请补充]
GameCenter_2026060224344957,2026-06-02 19:30:48,66,A,B,G,B,D,,,,A，B,A，C，D，F，G,A，B，C，E，H,A，B，D，K,A，E，G
GameCenter_2026060258734956,2026-06-02 19:30:34,332,A,A,,,,C,AMD Ryzen 9 8945HX with Radeon Graphics (2.50 GHz),NVIDIA GeForce RTX 5060 Laptop GPU (8 GB)
AMD Radeon(TM) 610M (483 MB),B,,,C，D，F，H，M,A，B，C
GameCenter_2026060261414955,2026-06-02 19:30:28,75,A,B,H,D,E,,,,A,A，C，D，F，I,A，C，E，H，L,,A，C，E
GameCenter_2026060247864954,2026-06-02 19:30:25,196,A,A，B,F,C,E,B,Intel Core i5-12600kf,AMD-7800XT,B,,,C，E，G，I，J,A，B，F
GameCenter_2026060291994953,2026-06-02 19:30:23,257,A,A，B,D,C,D,C,core i5-9600kf,GeForce RTX 2070,A，B,A，D，M，O，P,B，C，H，I，L,E，K，L,A，E，G
GameCenter_2026060250614952,2026-06-02 19:30:20,150,A,A,,,,C,Intel Core i7-14700HX,NVIDIA GeForce RTX 4070 Laptop GPU 8GB,B,,,E，H，I，J,A，E，G
GameCenter_2026060227914951,2026-06-02 19:30:17,88,A,A，B,B,A,C,E，无,无,无,A,C，D，G，L,A，C，H,,A
GameCenter_2026060221264949,2026-06-02 19:29:48,74,A,B,D,B,D,,,,B，C,,,J，K,A，G
GameCenter_2026060213474945,2026-06-02 19:29:04,37,A,B,B,E,F,,,,D,,,,B，C
GameCenter_2026060253194944,2026-06-02 19:28:51,171,A,A,,,,C,AMD Ryzen 9800x3D,NVIDIA 5080,B，C,,,A，B，G，H，K,A，C，E
GameCenter_2026060278054942,2026-06-02 19:28:19,157,A,A，B,C,D,D,C,i5-12400f,4060ti,A，B，C,D，I，M，O,A，B，C，H，J,A，J，K，L,B，C
GameCenter_2026060212304939,2026-06-02 19:28:01,110,A,A,,,,C,14900F,5700,A，B，C,D，E，I，O,B，F，H，I，J,I，K,A，G
GameCenter_2026060283144938,2026-06-02 19:27:45,102,A,A，B,K，红魔,C,D,C,7800x3d,4080,A，B,D,A，C，F，H,I，L,A，B，G
GameCenter_2026060274434937,2026-06-02 19:27:40,97,A,A，B,B,D,E,C,i7-12700kf,5070ti,B,,,A，H,A，B，C
GameCenter_2026060275904936,2026-06-02 19:27:02,48,A,B,F,D,D,,,,A,A，J，L，O，P,A，C，G，H，I,,A，B，C
GameCenter_2026060272114935,2026-06-02 19:26:59,69,A,A,,,,B,i3-12400,2060,B,,,H,B
GameCenter_2026060281944934,2026-06-02 19:26:57,95,A,B,I,E，Galaxy Tab S10+,D,,,,A,C，D，I，J，L,M,,A，B，E
GameCenter_2026060248854932,2026-06-02 19:26:43,336,A,A，B,B,D,E,C,R9 9955HX,RTX 5060 ,A，B,C，D，I，L，O,I,D，F，H，J,A，B，E
GameCenter_2026060288934929,2026-06-02 19:26:27,85,A,B,B,E，vivos19pro,D,,,,A,A，C，D，J，L,C，H，J,,B，C，E
GameCenter_2026060236474927,2026-06-02 19:26:13,70,A,B,G,E，红米K20Pro,C,,,,A,D，I，J，L,H,,A，B，E
GameCenter_2026060284824926,2026-06-02 19:25:54,186,A,A，B,E,D,E,C,AMD Ryzen 7 7745,NVIDIA GeForce RTX 4060,A，B,A，D，I，J，O,B，H，J，L,J，L,A，F，G
GameCenter_2026060237234925,2026-06-02 19:25:53,170,A,A，B,B,A,C,C,9800x3d,5080,A，B,A，D，G，I，P,A，B，C，F，G,F，I，J，K，L,A，B，C
GameCenter_2026060299054924,2026-06-02 19:25:47,249,A,A，B,D,C,E,C,i5 14600fk,4080,A，B,C，D，G，O,D，G，I，J,A，C，E，G，J,A，B，C
GameCenter_2026060276384923,2026-06-02 19:25:37,134,A,A,,,,C,i7 12700f,2060s,A，B,C，E，N,A，D，I，J，K,C，G，H，I，J,A，E，G
GameCenter_2026060274344920,2026-06-02 19:25:33,32,A,B,D,D,E,,,,A,A，C，D，I,M,,E
GameCenter_2026060250164919,2026-06-02 19:25:30,44,A,B,E,E,C,,,,D,,,,A，B，C
GameCenter_2026060244494918,2026-06-02 19:25:20,38,A,A,,,,B,7800X3D,4070tis,B,,,A，B，H,B，I
GameCenter_2026060241304916,2026-06-02 19:23:50,55,A,B,C,B,D,,,,A,A，C，D，I，L,C，G，H，J,,A，B，E
GameCenter_2026060216214915,2026-06-02 19:23:49,122,A,A,,,,C,13th Gen Intel Core i7-13700H,NVIDIA GeForce RTX 4070 ,B,,,H，J,A，B，E
GameCenter_2026060243744913,2026-06-02 19:23:23,134,A,B,D,B,E,,,,A，B,A，C，D，I，L,J,H,B，C，G
GameCenter_2026060236794912,2026-06-02 19:22:57,256,A,B,E,E，荣耀 HONOR Pad 7,B,,,,A,C，D，I，L,M,,A，B，E
GameCenter_2026060293334911,2026-06-02 19:22:44,179,A,A,,,,C,Intel Core i7- 13650HX,NVIDIA GeForce RTX 4060,B,,,J，M,A，C，G
GameCenter_2026060281624909,2026-06-02 19:22:27,152,A,B,A,D,C,,,,A，B,C，D，I，J，L,M,G，H，J,B，C，E
GameCenter_2026060243054908,2026-06-02 19:22:18,426,A,A，B,B,C,E,C,Ryzen 9系列7940HX,4070,A，B,A，C，I，L，O,I,H，N,B，E，I
GameCenter_2026060279844907,2026-06-02 19:22:12,396,A,B,E,B,E,,,,A,C，D，I，P,C，D，E，F，G,,A，B，G
GameCenter_2026060231654906,2026-06-02 19:22:11,82,A,B,E,E，荣耀v20,B,,,,A,C，D，I，J，P,A，B，C，G，H,,A，B，E
GameCenter_2026060291014905,2026-06-02 19:22:10,487,A,A，B,K，红魔,C,E,C,13th Gen intel(R) Core(TM）i7-13700HX,NVIDIA GeForce RTX 4070 Laptop GPU,A，B,C，F，I，L，P,A，B，C，G，H,H，I，J，K,B，G
GameCenter_2026060278394904,2026-06-02 19:21:57,96,A,A，B,C,B,E,B,十三代i5英特尔,3060,A，B,A，D，F，P,A，B，D，G，I,A，I，J,B，C，G
GameCenter_2026060255604902,2026-06-02 19:21:08,302,A,B,G,E，红米not12RPro,D,,,,A,C，D，F，J，L,B，H，I,,A，B，F
GameCenter_2026060255484901,2026-06-02 19:21:07,81,A,B,C,A,D,,,,A,A，D,I，J,,A，C，F
GameCenter_2026060271844900,2026-06-02 19:20:03,128,A,B,H,D,D,,,,A，B,I,M,F,B，C，F
GameCenter_2026060272254899,2026-06-02 19:19:57,66,A,B,D,D,E,,,,A，B,C，D，L，P,C，J,F，H，I，J，M,B，E，F
GameCenter_2026060280834898,2026-06-02 19:19:48,87,A,B,G,C,D,,,,A,D，I，L,A，B，E，H,,A，B，C
GameCenter_2026060211934897,2026-06-02 19:19:42,126,A,B,C,B,D,,,,A，B,A，D，I，O,A，I，J,A，G，H，J，K,A，B，C
GameCenter_2026060296264895,2026-06-02 19:19:28,55,A,B,C,C,E,,,,A,A，D，I,H，I,,B，C，E
GameCenter_2026060231124892,2026-06-02 19:19:13,204,A,A，B,D,C,C,C,英特尔酷睿Ultra7 255H,RTX 5060英伟达（NVIDIA）,A，B,A，C，D，L，N,A，I，J，L,A，E，G，L,A，E，G
GameCenter_2026060275444891,2026-06-02 19:19:08,108,A,A，B,I,B,D,C,5700x,9070,A，B,A，C，D，I，O,A，H，I，J，K,H，I，J，K，L,A，B，G
GameCenter_2026060272264890,2026-06-02 19:19:02,85,A,B,E,D,D,,,,A,A，D，O,A，C，H，I，J,,A，B，E
GameCenter_2026060250894889,2026-06-02 19:18:53,65,A,A,,,,C,i713700h,4060,B,,,A，E，H，I，J,B，D，E
GameCenter_2026060260704887,2026-06-02 19:18:50,114,A,A，B,F,B,E,B,AMD R7 6800H,RTX 3050 laptop,A，B,A，D，I，J，L,J,J,A，B，E
GameCenter_2026060298814886,2026-06-02 19:18:26,97,A,B,H,D,E,,,,A，B，C,A，D，I，O，P,A，C，G，H，J,A，E，I，J，K,A，E，G
GameCenter_2026060244804885,2026-06-02 19:17:58,95,A,A,,,,B,9800X3D,7900XT,A，B,D,C，J,H，L,A，B，E
GameCenter_2026060288884884,2026-06-02 19:17:58,264,A,A,,,,B,AMD Ryzen 7 5700X,AMD RX 6750 XT,A，B,A，D，I，O，P,A，C，D，E，H,E，I，J，K，L,A，B，G
GameCenter_2026060283614883,2026-06-02 19:17:41,248,A,A,,,,B,i5-12400F,RTX 2060,A，B,C，D，O，P,A，C，H，J,J，K，L，M,A，E
GameCenter_2026060293104882,2026-06-02 19:17:32,145,A,A,,,,C,intel Core i5-12400f,AMD RX6600,B,,,A，H，J，L，M,A，B，G
GameCenter_2026060257654880,2026-06-02 19:17:23,141,A,A,,,,C,core i7系列12代产品,rtx 4060 laptop,B,,,A，H，I，J，K,A，E，I
GameCenter_2026060225094879,2026-06-02 19:17:10,308,A,A,,,,C,i7-12700 ,A卡，6750,A，B,C，D，I，L，O,M,B，C，J，M,B，F
GameCenter_2026060241004877,2026-06-02 19:16:58,244,A,A,,,,C,Intel core i7 12,RTX 4060,B,,,G，H，I，J，K,A，C，G
GameCenter_2026060232874876,2026-06-02 19:16:49,91,A,A，B,H,D,D,C,13i7,4060,A，B,A，D，I，L，O,A，E，H，I，J,G，H，J，L，M,A，B，C
GameCenter_2026060265594874,2026-06-02 19:16:37,87,A,A，B,D,D,E,C,Ryzen 7,5070ti,A,A，C，D，I，O,D，E，G，H，J,,A，B，D
GameCenter_2026060264114872,2026-06-02 19:15:49,98,A,B,F,C,E,,,,A，B,A，I，J，L，O,I,B，C，H，J，M,A，B，C
GameCenter_2026060249794871,2026-06-02 19:15:47,394,A,A,,,,B,Intel Core i5-12490F,NVIDIA GeForce RTX 3070,A，B,C，D，I,M,D，I,B，C
GameCenter_2026060264664870,2026-06-02 19:15:06,63,A,B,K，红魔10pro+,D,E,,,,A,A，D，F，I，P,A，C，F，G，H,,A，B，C
GameCenter_2026060276544868,2026-06-02 19:14:54,126,A,A,,,,C,ryzen 9 7940h,rtx4060,B,,,A，I，K,B
GameCenter_2026060238284867,2026-06-02 19:14:54,99,A,B,E,A,B,,,,B,,,K,A，C，G
GameCenter_2026060247604866,2026-06-02 19:14:38,544,A,A，B,G,B,E,C,ic i7-13650
,4060,A，B,A，C，D，H，I,M,H，J，M,A，B，E
GameCenter_2026060259714865,2026-06-02 19:14:19,98,A,A,,,,C,i713600,4050,A，B,A，C，D，F，I,A，B，I，J，L,A，E，H，I，L,A，B，G
GameCenter_2026060287774864,2026-06-02 19:14:15,87,A,B,A,E，华为Pura80,E,,,,A,C，D，M,M,,E
GameCenter_2026060289774863,2026-06-02 19:14:10,89,A,A,,,,C,AMD Ryzen9 7940Hx,NVIDIA Geforce RTX 4060 Laptop,B,,,H，I，J,A，E
GameCenter_2026060270294862,2026-06-02 19:14:07,74,A,B,H,C,D,,,,A,A，C，D，I，O,E，I，J,,A，E，G
GameCenter_2026060237294861,2026-06-02 19:13:41,152,A,B,E,C,E,,,,A，B,A，C，D，J，O,A，H，I,A，G，I,A，B，E
GameCenter_2026060233864858,2026-06-02 19:13:10,207,A,A，B,C,B,E,B,Intel Core i7-9750,RTX 2060,A，B,C，D，I，J，P,A，B，C，E，H,C，F，G，I,B，E，F
GameCenter_2026060284674857,2026-06-02 19:13:05,94,A,B,F,B,E,,,,A,C，L,K,,E
GameCenter_2026060219484856,2026-06-02 19:12:56,65,A,A,,,,C,12400,4060,A，B,R,H,J,A，C，E
GameCenter_2026060277214855,2026-06-02 19:12:48,62,A,B,F,D,E,,,,A,A，C，I，J，L,H,,A，B，E
GameCenter_2026060295994854,2026-06-02 19:12:42,153,A,A，B,G,B,E,C,intel ultra7,5060,A，B,A，C，D，I，L,A，J，L,A，H，J,E，G
GameCenter_2026060277784853,2026-06-02 19:12:34,97,A,B,C,E，OPPO Reno14Pro,D,,,,A，B,A，I,L,O,B
GameCenter_2026060229154852,2026-06-02 19:12:31,278,A,A,,,,C,12th Gen Intel(R) Core(TM) i5-1240P (1.70 GHz),办公本，不知道呀,A,C,M,,A，B
GameCenter_2026060281924851,2026-06-02 19:12:26,161,A,A,,,,C,i9-13900hx
,4060,B,,,A，I，L,A，I
GameCenter_2026060258244850,2026-06-02 19:12:12,48,A,B,G,B,D,,,,A,A，C，D，I,A，I,,B，E
GameCenter_2026060239444847,2026-06-02 19:11:56,475,A,A，B,E,B,B,C,Intel Core i7-12700,NVIDIA Geforce RTX 3050 Laptop GPU,A，B,C，D，F，I，J,A，D，J，L,D，H，K,A
GameCenter_2026060251714846,2026-06-02 19:11:41,91,A,B,E,B,E,,,,A，B,D,D,C，G,B
GameCenter_2026060222444845,2026-06-02 19:11:40,45,A,B,H,B,B,,,,A,A，C，F，I，L,M,,A，B
GameCenter_2026060225524844,2026-06-02 19:11:38,213,A,A,,,,C,i9-13900hx,rtx5060,B,,,B，E，I，J，L,B，E
GameCenter_2026060251374843,2026-06-02 19:11:38,118,A,A，B,K，红魔,D,E,C,9950x2d,4080,A，B，C,I,M,H,B，E
GameCenter_2026060256324842,2026-06-02 19:11:21,104,A,A,,,,C,i5-13490F,NVIDIA GeForce RTX 3070 (8 GB),B,,,A，B，E，I，K,I
GameCenter_2026060296454839,2026-06-02 19:10:59,54,A,B,B,E,C,,,,A,G，I，L,M,,B，E，F
GameCenter_2026060231824838,2026-06-02 19:10:54,94,A,A,,,,C,i714970k,5070,A，B，C,C，D，O,A，C，F，G，H,B，H，I，J，K,A，G
GameCenter_2026060293354836,2026-06-02 19:10:40,81,A,A,,,,B,r7 4800h,2060,B,,,H，I,B，E
GameCenter_2026060214884834,2026-06-02 19:10:30,138,A,B,C,A,C,,,,A,A，I，L，O,I,,A，B，E
GameCenter_2026060272224833,2026-06-02 19:10:25,107,A,B,K，真我,D,D,,,,A，B,A，C，D，I，L,B，C，E，H,A，B，H，I，J,A，E
GameCenter_2026060221014832,2026-06-02 19:10:21,150,A,A，B,H,B,E,C,i5-13500,RTX4060,A，B,C，D，I,E，L,A，L,A，B，G
GameCenter_2026060275134831,2026-06-02 19:10:13,73,A,B,G,B,D,,,,A,A，I,I,,A，B，E
GameCenter_2026060280364830,2026-06-02 19:09:57,97,A,A，B,F,D,E,C,12700,3060,A，B,A，B，C，D，Q,A，C，D，F，L,G，H，I，J,B，D，E
GameCenter_2026060280734828,2026-06-02 19:09:51,160,A,A,,,,B,
AMD 锐龙 7 5800H,
NVIDIA GEFORCE RTX 3060,B,,,A，B，K,E，G
GameCenter_2026060258274827,2026-06-02 19:09:29,243,A,A,,,,B,9850x3d,5070ti,B,,,A，F，I，K，L,E，G
GameCenter_2026060277684826,2026-06-02 19:09:23,245,A,B,C,D,D,,,,A，B,D，I，J，O，P,A，C，H，I，J,F，I，J，K，L,A，B，G
GameCenter_2026060248324825,2026-06-02 19:09:15,827,A,B,B,A,D,,,,A，B,A，D，I，O，P,A，F，G，H，J,A，B，H，I，K,A，B，G
GameCenter_2026060259404824,2026-06-02 19:09:07,41,A,B,D,E，小米17pro,E,,,,A,A，D，L,A，C，D,,A，B，C
GameCenter_2026060288304823,2026-06-02 19:08:47,88,A,B,K，红魔10spro+,C,E,,,,C,,,A，I，J,D，E，F
GameCenter_2026060275254822,2026-06-02 19:08:31,68,A,B,E,D,D,,,,A,A，C，D，F，I,D，L,,B，D，E
GameCenter_2026060218044821,2026-06-02 19:08:31,109,A,A，B,H,C,E,C,i5-13400F ,4060ti,A，B,C，D，I,A，C，F，G，H,A，J，K，L，M,A，E，G
GameCenter_2026060246564820,2026-06-02 19:08:04,71,A,B,A,A,E,,,,A,C，D，I，J，O,B，C，G，H，I,,A，E，F
GameCenter_2026060243424819,2026-06-02 19:08:02,111,A,A，B,H,B,E,C,4060,4060,A，B,A，D，F，J,M,G，H，I,A，D
GameCenter_2026060292654818,2026-06-02 19:07:57,116,A,A,,,,B,i7-14700KF,RTX 4080S,A，B,A，D，L，O，P,A，H，I,A，H，I，L,A，C，F
GameCenter_2026060269334817,2026-06-02 19:07:53,223,A,A，B,D,E，小米17ProMax,E,C,Ryzen 7 9700X,NVIDIA GeForce RTX 5070,A，B,B，D，E，G，I,A，C，D，G，H,A，J，K，L,A，B，C
GameCenter_2026060277654816,2026-06-02 19:07:50,149,A,A,,,,C,AMD Ryzen 7 9700X ,NVIDA GeForce RTX 4070 SUPER,B,,,A，C，G，H，K,A，B，E
GameCenter_2026060235294815,2026-06-02 19:07:41,44,A,B,B,C,E,,,,A,A，C，F，O,E，G，H，I,,A，B，C
GameCenter_2026060258624814,2026-06-02 19:07:36,1053,A,A,,,,C,9700x,5070ti,B,,,I，J,B，C
GameCenter_2026060283914813,2026-06-02 19:07:25,88,A,B,E,E，荣耀畅玩50,B,,,,A,D，L，N,B，C,,I
GameCenter_2026060279824812,2026-06-02 19:07:20,153,A,B,B,C,C,,,,A，B,C，L，O,A，I,C，G，H，I，K,A，C，F
GameCenter_2026060214504810,2026-06-02 19:07:00,79,A,A，B,D,D,E,C,u9,rtx5080,A，B，C,C，D，O，P,A，C，F，G，H,H，I，J，K，L,A，B，G
GameCenter_2026060212624809,2026-06-02 19:06:54,191,A,A,,,,C,AMD R5 5500散片,华硕ATS RX7650GRE O8G 巨齿鲨,A，B,A，D，I，J，P,A，C,A，I，J，L,B，C，E
GameCenter_2026060295824807,2026-06-02 19:06:19,121,A,A，B,D,B,E,C,AMD Rezen 5600,AMD 6650XT,B,,,C，H,A，B，G
GameCenter_2026060225534805,2026-06-02 19:06:06,150,A,A，B,D,D,E,C,AMD Ryzen 7 9700X,NVIDIA GeForce RTX 5070,A，B,C，D，I，P,A，C，H,H，I，J，K，M,A，B，G
GameCenter_2026060248964804,2026-06-02 19:05:29,216,A,B,G,E，REDMI Turbo 4 Pro,E,,,,A，B,C,M,A，E,J，阿绿辛苦了
GameCenter_2026060249284803,2026-06-02 19:05:20,48,A,B,G,B,E,,,,A,A，C，I，O，P,A，C，H，I,,A，E
GameCenter_2026060284964802,2026-06-02 19:05:20,145,A,A，B,G,D,D,C,AMD Ryzen7 8845hs,RTX4070,A，B,B，D，F，I，L,A，D，E，G，H,E，G，H，I，J,A，B，E
GameCenter_2026060262624801,2026-06-02 19:05:18,97,A,B,B,A,F,,,,A，B，C,C,H,I，J,A，B
GameCenter_2026060228424799,2026-06-02 19:04:54,101,A,A，B,B,B,D,C,i7,3070ti,A，B，C,C，D，I，O,A，H，I，J,H，J，M,C，E
GameCenter_2026060278494797,2026-06-02 19:04:13,48,A,B,G,A,C,,,,A,A，B，D,A，C，E，G，I,,A，B，C
GameCenter_2026060238324796,2026-06-02 19:04:08,41,A,B,H,C,E,,,,B,,,A，C，D，G，J,B，C，F
GameCenter_2026060246244795,2026-06-02 19:04:08,54,A,B,H,C,C,,,,A,C，D，I，M,J,,B，E
GameCenter_2026060267664794,2026-06-02 19:03:54,30,A,B,G,D,F,,,,A,A,E,,A
GameCenter_2026060263924793,2026-06-02 19:03:49,137,A,B,H,D,E,,,,A，B，C,C，D，I，J，O,A，D，H，I，J,G，I，J，K，L,A，B，E
GameCenter_2026060227744792,2026-06-02 19:03:46,73,A,A,,,,C,i5-13700,RTX4060ti,B,,,A，F,A，B，G
GameCenter_2026060213024789,2026-06-02 19:03:22,237,A,A,,,,C,i5 12400,rtx 4060,A，B,C，I，J，N,G，H，K,C，F，G，H，K,A，E，G
GameCenter_2026060225454787,2026-06-02 19:03:01,205,A,A,,,,C,i9-14900k,RTX 4070,A，B,C，D，I，J,A，C，D，H,G，H，L,A，B，G
GameCenter_2026060292734786,2026-06-02 19:02:51,442,A,A，B,E,D,E,C,AMD Ryzen 9 8945HX,RTX5070,A，B,A，C，D，I，K,B，L,A，B，F，G，I,C，E
GameCenter_2026060276934784,2026-06-02 19:02:47,87,A,A，B,G,C,E,C,e5,3060,A，B,A，D，I，O，P,B，H，J，L,A，K，L,A，B，C
GameCenter_2026060229014783,2026-06-02 19:02:44,79,A,B,H,D,D,,,,A，B,A，C，D，I，O,A，E，H，K，L,C，F，H，K，L,B，E，G
GameCenter_2026060227734782,2026-06-02 19:02:34,359,A,A,,,,B,core i9 12900H,NVIDIA GeForce RTX 4060,A，B，C,A，C，D，E，I,A，C,E，I，J，L，M,B，E，F
GameCenter_2026060282664780,2026-06-02 19:02:21,147,A,A,,,,C,i7-13代,RTX5060,B,,,B，H，J，K，N,A，B，G
GameCenter_2026060220484779,2026-06-02 19:02:09,92,A,B,D,E，OPPO A3X 5G,C,,,,A，B,A，C，D，I，O,B，G，I，J,G，J,B，E
GameCenter_2026060241904778,2026-06-02 19:01:51,291,A,A,,,,C,i7-12700H,RTX-4050,B,,,A，J,A
GameCenter_2026060212544777,2026-06-02 19:01:49,75,A,A,,,,B,5600,5060ti8G,A，B,D，I，L,A，I,I，J，K,A，B，E
GameCenter_2026060274964776,2026-06-02 19:01:46,163,A,A,,,,C,Intel core i9-14900,NVIDIA RTX 4060 Laptop,B,,,A，E，G，H，J,B，E，F
GameCenter_2026060250824775,2026-06-02 19:01:41,116,A,B,C,D,E,,,,A，B,C，D，I，J,A，E，L,C，F，G，H，L,A，B，E
GameCenter_2026060228614774,2026-06-02 19:01:39,100,A,A，B,G,B,C,B,I5 12600KF,RTX4060,B,,,A，B,B，C，E
GameCenter_2026060265384773,2026-06-02 19:01:35,74,A,B,D,D,E,,,,A，B,A，H，I，L，P,D，G，J,C，D，G，J,B，C，E
GameCenter_2026060295294772,2026-06-02 19:01:31,73,A,A，B,D,D,E,C,i7-12700H,3070ti laptop,B,,,A，G，H，J,A，B，E
GameCenter_2026060246074770,2026-06-02 19:00:55,94,A,B,G,C,D,,,,A,A，C，D，I，P,A，H，I，J，K,,A，B，E
GameCenter_2026060251174769,2026-06-02 19:00:51,123,A,B,K，红魔10pro,E，骁龙8至尊领先版,E,,,,A,D，I，L，M，O,B，C，H，J,,A，B，E
GameCenter_2026060268724767,2026-06-02 19:00:36,46,A,B,H,B,D,,,,A,C，D，L,H，J,,A
GameCenter_2026060256814766,2026-06-02 19:00:36,84,A,A,,,,C,12th Gen Intel(R) Core(TM) i5-12400F (2.50 GHz),RTX 2070,B,,,H，I，J，K,A，B，G
GameCenter_2026060278364765,2026-06-02 19:00:35,93,A,A,,,,B,amd7800x3d,NVIDIA RTX 4090,A，C,A，D，F，I，M,D，G，H，I，K,E，H，I，J，L,B，D，I
GameCenter_2026060213314764,2026-06-02 19:00:10,126,A,B,F,D,E,,,,A,A，C，D，F，I,A，C，G，I，J,,A，B，G
GameCenter_2026060251224763,2026-06-02 19:00:09,85,A,A，B,E,D,E,B,r55600,6600gt,A，B,A，C，D，L，O,A，B，C，I，L,A，C，F，H，M,A，B，G
GameCenter_2026060281574762,2026-06-02 18:59:49,132,A,B,B,D,D,,,,A，B,D，F，I，L，O,A，C，G，H，K,B，G，H，I，J,A，C，E
GameCenter_2026060288834761,2026-06-02 18:59:45,310,A,A，B,H,D,E,C,U9–275HX,RTX5060,A，B,C，I，J，O，P,A，B，C，I,C，G，J,A，E，G
GameCenter_2026060288764758,2026-06-02 18:59:09,87,A,B,C,E，oppo A3,D,,,,A,Q,I,,B，C
GameCenter_2026060289484757,2026-06-02 18:58:37,119,A,A,,,,C,AMD Ryzen 5 5600,AMD Radeon rx6600,B,,,A，I，J，K，L,A，B，E
GameCenter_2026060221174756,2026-06-02 18:58:36,75,A,B,C,C,D,,,,A，B,C，F,K,A,A，I
GameCenter_2026060211334755,2026-06-02 18:58:32,131,A,B,E,D,D,,,,A，B,A，D，I，J，L,A，I，L,G，H，I,B，E
GameCenter_2026060273364754,2026-06-02 18:58:26,86,A,A,,,,C,i7-7735h,4060rtx,B,,,H，I，J，L，M,A，B，E
GameCenter_2026060233724751,2026-06-02 18:57:51,120,A,B,D,C,D,,,,A,R,M,,J，小红书看到
GameCenter_2026060273624750,2026-06-02 18:57:47,56,A,A，B,B,D,E,C,i9-14900k,rtx 4050,A，B,C，D，E，I，J,A，C，D，E，I,B，C，E，G,B，E，G
